Experiment,Treatment,Replicate,SOAV
exper,treat,rep,soav
Experiment 1,CC-CM,1,159.486
Experiment 1,CC-CM,2,154.646
Experiment 1,CC-CM,3,183.653
Experiment 1,D-CM,1,359.775
Experiment 1,D-CM,2,443.532
Experiment 1,D-CM,3,381.063
Experiment 1,U-CM,1,351.479
Experiment 1,U-CM,2,492.502
Experiment 1,U-CM,3,425.069
Experiment 2,CC-CM,1,366.745
Experiment 2,CC-CM,2,286.443
Experiment 2,CC-CM,3,314.143
Experiment 2,D-CM,1,700.888
Experiment 2,D-CM,2,577.046
Experiment 2,D-CM,3,718.382
Experiment 2,U-CM,1,1067.332
Experiment 2,U-CM,2,1085.917
Experiment 2,U-CM,3,849.489
